Country,Value
Albania,9
Algeria,2
Argentina,599
Aruba,31
Australia,2597
Austria,2079
Barbados,2
Belarus,52
Belgium,572
Bolivia,43
"Bonaire, Sint Eustatius and Saba ",5
Bosnia Herzegovenia,130
Brazil,2203
British Virgin Islands,148
Bulgaria,353
Canada,16197
Cayman Islands,98
Chile,2024
China,2
Colombia,444
Cook Islands,2
Costa Rica,148
Croatia,184
Curaçao,10
Cyprus,7
Czech Republic,859
Denmark,673
Dominican Republic,26
Ecuador,193
Egypt,24
El Salvador,53
Estonia,193
Faroe Islands,35
Finland,847
France,2920
Germany,24420
Greece,233
Guatemala,14
Honduras,32
Hong Kong,253
Hungary,74
Iceland,27
India,2
Indonesia,90
Ireland,235
Isle of Man,9
Israel,25
Italy,5824
Jamaica,5
Japan,190
Jordan,36
Kazakhstan,78
La Réunion,5
Latvia,280
Lebanon,2
Liechtenstein,3
Lithuania,163
Luxembourg,82
Madagascar,2
Malaysia,6
Malta,106
Mauritius,1
Mexico,4155
Monaco,20
Montenegro,12
Morocco,9
Netherlands,1881
New Zealand,437
Nicaragua,39
Nigeria,1
North Macedonia,16
Norway,701
Pakistan,9
Panama,19
Paraguay,10
Peru,160
Philippines,137
Poland,862
Portugal,1146
Puerto Rico,35
Qatar,4
Romania,846
Russia,213
Saint Pierre and Miquelon,8
Saint Vincent and the Grenadines,1
San Marino,4
Serbia,15
Seychelles,1
Singapore,38
Sint Maarten,69
Slovakia,92
Slovenia,796
South Africa,225
South Korea,16
Spain,1097
Sri Lanka,31
Suriname,2
Sweden,1127
Switzerland,1717
Thailand,44
Trinidad and Tobago,15
Tunisia,20
Turkey,35
Uganda,1
UK,4292
Ukraine,64
Uruguay,212
US,84474
Venezuela,35
